entry_id,player_id,event_id,timestamp,chance_of_playing_this_round,form,status,fixture_code,opposition_gf,opposition_ga,opposition,is_home,kickoff_time,points_h,points_a,minutes_h,minutes_a,goals_scored_h,goals_scored_a,assists_h,assists_a,clean_sheets_h,clean_sheets_a,goals_conceded_h,goals_conceded_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,bonus_h,bonus_a,influence_h,influence_a,creativity_h,creativity_a,threat_h,threat_a,points_1,points_2,points_3,minutes_1,minutes_2,minutes_3,opposition_strength,response
1,1,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
2,2,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
3,3,33,2021-04-23 14:46:16,0.0,0.0,i,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.62,0.88,41.69,42.31,0.0,0.06,0.0,0.0,0.19,0.0,0.38,0.88,0.06,0.0,0.0,0.06,0.0,0.0,6.58,8.71,2.03,0.79,3.31,4.38,0,0,0,0.0,0.0,0.0,3.0,0
4,4,33,2021-04-23 14:46:16,75.0,0.7,i,319,1.19,1.48,7,1,2021-04-23 19:00:00,4.06,2.69,65.88,59.56,0.38,0.19,0.06,0.0,0.12,0.31,0.94,0.62,0.0,0.12,0.0,0.0,0.5,0.12,17.85,8.91,11.63,6.64,25.62,20.06,0,0,2,0.0,0.0,76.0,3.0,0
5,5,33,2021-04-23 14:46:16,100.0,0.0,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.31,0.44,25.62,20.88,0.0,0.0,0.06,0.0,0.12,0.0,0.38,0.31,0.06,0.0,0.0,0.0,0.19,0.0,3.96,2.96,3.79,3.39,2.69,1.44,0,0,0,0.0,0.0,45.0,3.0,0
6,6,33,2021-04-23 14:46:16,100.0,5.7,i,319,1.19,1.48,7,1,2021-04-23 19:00:00,2.44,5.44,56.94,59.56,0.19,0.62,0.0,0.19,0.19,0.25,0.56,0.69,0.06,0.12,0.0,0.0,0.31,1.0,9.2,28.19,6.46,12.51,19.81,30.0,2,13,2,69.0,88.0,90.0,3.0,0
7,7,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.12,0.06,2.62,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.25,0.06,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
8,8,33,2021-04-23 14:46:16,100.0,2.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,3.06,3.81,84.38,83.19,0.0,0.0,0.0,0.0,0.19,0.38,1.12,1.0,0.0,0.0,0.0,0.06,0.06,0.44,19.46,19.14,0.0,0.0,0.0,0.0,0,6,2,0.0,90.0,90.0,3.0,0
9,9,33,2021-04-23 14:46:16,100.0,1.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.88,2.0,65.38,74.44,0.06,0.0,0.06,0.06,0.19,0.31,0.75,0.88,0.19,0.19,0.06,0.0,0.06,0.0,12.65,11.92,6.27,10.18,4.44,3.31,2,3,0,90.0,90.0,0.0,3.0,2
10,10,33,2021-04-23 14:46:16,100.0,1.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.19,1.44,11.25,33.75,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.31,0.06,0.06,0.0,0.0,0.0,0.06,1.5,6.67,0.02,1.54,0.0,1.0,0,5,0,0.0,90.0,0.0,3.0,2
