id,team,element_type,first_name,second_name,web_name,now_cost,initial_cost
1,1,3,Mesut,Özil,Özil,67,70.0
2,1,2,Sokratis,Papastathopoulos,Sokratis,48,50.0
3,1,2,David,Luiz Moreira Marinho,David Luiz,54,55.0
4,1,3,Pierre-Emerick,Aubameyang,Aubameyang,113,120.0
5,1,2,Cédric,Soares,Cédric,46,50.0
6,1,4,Alexandre,Lacazette,Lacazette,84,85.0
7,1,2,Shkodran,Mustafi,Mustafi,50,50.0
8,1,1,Bernd,Leno,Leno,50,50.0
9,1,3,Granit,Xhaka,Xhaka,52,55.0
10,1,2,Pablo,Marí,Marí,44,45.0
11,1,2,Héctor,Bellerín,Bellerín,50,50.0
13,1,2,Calum,Chambers,Chambers,45,45.0
14,1,2,Sead,Kolasinac,Kolasinac,48,50.0
16,1,2,Rob,Holding,Holding,43,45.0
17,1,2,Kieran,Tierney,Tierney,52,55.0
18,1,3,Nicolas,Pépé,Pépé,77,80.0
19,1,3,Lucas,Torreira,Torreira,47,50.0
21,1,3,Reiss,Nelson,Nelson,51,55.0
22,1,4,Edward,Nketiah,Nketiah,53,60.0
23,1,3,Emile,Smith Rowe,Smith Rowe,42,45.0
24,1,3,Bukayo,Saka,Saka,51,55.0
25,1,3,Matteo,Guendouzi,Guendouzi,47,50.0
26,1,3,Gabriel Teodoro,Martinelli Silva,Martinelli,49,50.0
27,1,2,William,Saliba,Saliba,40,45.0
70,1,1,Mathew,Ryan,Ryan,41,45.0
478,1,3,Willian,Borges Da Silva,Willian,75,80.0
494,1,2,Gabriel,Magalhães,Gabriel,49,50.0
501,1,3,Daniel,Ceballos Fernández,Ceballos,47,50.0
526,1,3,Mohamed Naser,El Sayed Elneny,Elneny,42,45.0
527,1,1,Matt,Macey,Macey,40,40.0
547,1,1,Rúnar Alex,Rúnarsson,Rúnarsson,44,45.0
567,1,3,Thomas,Partey,Partey,49,50.0
645,1,3,Martin,Ødegaard,Ødegaard,56,60.0
689,1,3,Miguel,Azeez,Azeez,45,45.0
12,2,1,Emiliano,Martínez,Martínez,53,45.0
28,2,1,Tom,Heaton,Heaton,45,45.0
29,2,2,Ahmed,El Mohamady,El Mohamady,42,45.0
30,2,3,Henri,Lansbury,Lansbury,43,45.0
